hub_id,hub_name,rim_id,rim_name,F_lat,tension_ratio,flange_width,pcd_mean,pcd_ds,pcd_nds,standard_157,rim_stiffness_index,rim_internal_width,rim_material
h3,Onyx 150/157 Vesper,r2,Race Face ARC Offset 30,20.733752225839705,65.76242119460615,68.37,46.0,50.0,42.0,1,0.952,30,alloy
h3,Onyx 150/157 Vesper,r3,Stan's Flow S2,19.895640308709783,65.76242119460615,68.37,46.0,50.0,42.0,1,0.867,30,alloy
h3,Onyx 150/157 Vesper,r4,We Are One Convert,25.20560258215564,65.76242119460615,68.37,46.0,50.0,42.0,1,1.575,35,carbon
h3,Onyx 150/157 Vesper,r5,ENVE M730,26.0660208600633,65.76242119460615,68.37,46.0,50.0,42.0,1,1.736,30,carbon
h4,Spank Hex J-Type R150/157,r1,DT Swiss XM 481,24.9114264102659,75.18295589119303,69.0,61.0,64.0,58.0,1,1.0,30,alloy
h4,Spank Hex J-Type R150/157,r2,Race Face ARC Offset 30,24.3729549987537,75.18295589119303,69.0,61.0,64.0,58.0,1,0.952,30,alloy
h4,Spank Hex J-Type R150/157,r3,Stan's Flow S2,23.34487575112709,75.18295589119303,69.0,61.0,64.0,58.0,1,0.867,30,alloy
h4,Spank Hex J-Type R150/157,r4,We Are One Convert,29.837613385348455,75.18295589119303,69.0,61.0,64.0,58.0,1,1.575,35,carbon
h4,Spank Hex J-Type R150/157,r5,ENVE M730,30.885832764812,75.18295589119303,69.0,61.0,64.0,58.0,1,1.736,30,carbon
h7,CK 157 SB Centerlock Rear,r1,DT Swiss XM 481,23.630614218226984,71.77352665731928,69.1,57.4,57.4,57.4,1,1.0,30,alloy
h7,CK 157 SB Centerlock Rear,r2,Race Face ARC Offset 30,23.130443789370325,71.77352665731928,69.1,57.4,57.4,57.4,1,0.952,30,alloy
h7,CK 157 SB Centerlock Rear,r3,Stan's Flow S2,22.17608533190674,71.77352665731928,69.1,57.4,57.4,57.4,1,0.867,30,alloy
h7,CK 157 SB Centerlock Rear,r4,We Are One Convert,28.21500741808474,71.77352665731928,69.1,57.4,57.4,57.4,1,1.575,35,carbon
h7,CK 157 SB Centerlock Rear,r5,ENVE M730,29.192303040694057,71.77352665731928,69.1,57.4,57.4,57.4,1,1.736,30,carbon
h9,Project 321 G3 157 SB,r1,DT Swiss XM 481,22.412300678304796,81.62535318202305,58.0,57.75,60.5,55.0,1,1.0,30,alloy
h9,Project 321 G3 157 SB,r2,Race Face ARC Offset 30,21.761735210224995,81.62535318202305,58.0,57.75,60.5,55.0,1,0.952,30,alloy
h9,Project 321 G3 157 SB,r3,Stan's Flow S2,20.502466336431688,81.62535318202305,58.0,57.75,60.5,55.0,1,0.867,30,alloy
h9,Project 321 G3 157 SB,r4,We Are One Convert,28.104621650463052,81.62535318202305,58.0,57.75,60.5,55.0,1,1.575,35,carbon
h9,Project 321 G3 157 SB,r5,ENVE M730,29.26640766319835,81.62535318202305,58.0,57.75,60.5,55.0,1,1.736,30,carbon
h11,I9 Hydra 6-Bolt 150/157,r1,DT Swiss XM 481,23.71387779811592,71.125251012666,70.0,59.0,60.0,58.0,1,1.0,30,alloy
h11,I9 Hydra 6-Bolt 150/157,r2,Race Face ARC Offset 30,23.220815343646258,71.125251012666,70.0,59.0,60.0,58.0,1,0.952,30,alloy
h11,I9 Hydra 6-Bolt 150/157,r3,Stan's Flow S2,22.280574842833325,71.125251012666,70.0,59.0,60.0,58.0,1,0.867,30,alloy
h11,I9 Hydra 6-Bolt 150/157,r4,We Are One Convert,28.242373139115454,71.125251012666,70.0,59.0,60.0,58.0,1,1.575,35,carbon
h11,I9 Hydra 6-Bolt 150/157,r5,ENVE M730,29.209850932078563,71.125251012666,70.0,59.0,60.0,58.0,1,1.736,30,carbon
h13,I9 Hydra Centerlock 157 SB,r1,DT Swiss XM 481,22.06621180892488,65.85215907123457,71.0,54.5,60.0,49.0,1,1.0,30,alloy
h13,I9 Hydra Centerlock 157 SB,r2,Race Face ARC Offset 30,21.62608054175382,65.85215907123457,71.0,54.5,60.0,49.0,1,0.952,30,alloy
h13,I9 Hydra Centerlock 157 SB,r3,Stan's Flow S2,20.787821424122406,65.85215907123457,71.0,54.5,60.0,49.0,1,0.867,30,alloy
h13,I9 Hydra Centerlock 157 SB,r4,We Are One Convert,26.12453368081779,65.85215907123457,71.0,54.5,60.0,49.0,1,1.575,35,carbon
h13,I9 Hydra Centerlock 157 SB,r5,ENVE M730,26.995042197358636,65.85215907123457,71.0,54.5,60.0,49.0,1,1.736,30,carbon
h16,Hope Pro5 157 SB 6-bolt,r1,DT Swiss XM 481,21.721632358249863,68.56132818624782,66.6,58.0,59.0,57.0,1,1.0,30,alloy
h16,Hope Pro5 157 SB 6-bolt,r2,Race Face ARC Offset 30,21.255304456080708,68.56132818624782,66.6,58.0,59.0,57.0,1,0.952,30,alloy
h16,Hope Pro5 157 SB 6-bolt,r3,Stan's Flow S2,20.36494814041937,68.56132818624782,66.6,58.0,59.0,57.0,1,0.867,30,alloy
h16,Hope Pro5 157 SB 6-bolt,r4,We Are One Convert,25.984600403964986,68.56132818624782,66.6,58.0,59.0,57.0,1,1.575,35,carbon
h16,Hope Pro5 157 SB 6-bolt,r5,ENVE M730,26.890724021177494,68.56132818624782,66.6,58.0,59.0,57.0,1,1.736,30,carbon
h18,Erase MTB IS 157x12 V2,r1,DT Swiss XM 481,23.842920527743164,69.97376016798655,72.0,53.0,56.0,50.0,1,1.0,30,alloy
h18,Erase MTB IS 157x12 V2,r2,Race Face ARC Offset 30,23.360548534897678,69.97376016798655,72.0,53.0,56.0,50.0,1,0.952,30,alloy
h18,Erase MTB IS 157x12 V2,r3,Stan's Flow S2,22.441506984491447,69.97376016798655,72.0,53.0,56.0,50.0,1,0.867,30,alloy
h18,Erase MTB IS 157x12 V2,r4,We Are One Convert,28.286765239663797,69.97376016798655,72.0,53.0,56.0,50.0,1,1.575,35,carbon
h18,Erase MTB IS 157x12 V2,r5,ENVE M730,29.239268862880717,69.97376016798655,72.0,53.0,56.0,50.0,1,1.736,30,carbon
h19,Hadley 150/157,r1,DT Swiss XM 481,21.78847358515776,66.6145987932362,69.0,59.0,59.0,59.0,1,1.0,30,alloy
h19,Hadley 150/157,r2,Race Face ARC Offset 30,21.342712381655872,66.6145987932362,69.0,59.0,59.0,59.0,1,0.952,30,alloy
h19,Hadley 150/157,r3,Stan's Flow S2,20.493021335727015,66.6145987932362,69.0,59.0,59.0,59.0,1,0.867,30,alloy
h19,Hadley 150/157,r4,We Are One Convert,25.886713328631,66.6145987932362,69.0,59.0,59.0,59.0,1,1.575,35,carbon
h19,Hadley 150/157,r5,ENVE M730,26.763030904628483,66.6145987932362,69.0,59.0,59.0,59.0,1,1.736,30,carbon
h22,OneUp Rear Hub 157x12,r1,DT Swiss XM 481,21.45687280226858,74.33662298497184,61.0,50.25,48.0,52.5,1,1.0,30,alloy
h22,OneUp Rear Hub 157x12,r2,Race Face ARC Offset 30,20.916453542668936,74.33662298497184,61.0,50.25,48.0,52.5,1,0.952,30,alloy
h22,OneUp Rear Hub 157x12,r3,Stan's Flow S2,19.877868573874498,74.33662298497184,61.0,50.25,48.0,52.5,1,0.867,30,alloy
h22,OneUp Rear Hub 157x12,r4,We Are One Convert,26.290211455348608,74.33662298497184,61.0,50.25,48.0,52.5,1,1.575,35,carbon
h22,OneUp Rear Hub 157x12,r5,ENVE M730,27.295961538808275,74.33662298497184,61.0,50.25,48.0,52.5,1,1.736,30,carbon
h24,KOM Xeno Rear Super Boost 157,r1,DT Swiss XM 481,24.03187030521765,80.19035399516025,63.0,46.0,46.0,46.0,1,1.0,30,alloy
h24,KOM Xeno Rear Super Boost 157,r2,Race Face ARC Offset 30,23.419427279160924,80.19035399516025,63.0,46.0,46.0,46.0,1,0.952,30,alloy
h24,KOM Xeno Rear Super Boost 157,r3,Stan's Flow S2,22.24259675039777,80.19035399516025,63.0,46.0,46.0,46.0,1,0.867,30,alloy
h24,KOM Xeno Rear Super Boost 157,r4,We Are One Convert,29.51360946302353,80.19035399516025,63.0,46.0,46.0,46.0,1,1.575,35,carbon
h24,KOM Xeno Rear Super Boost 157,r5,ENVE M730,30.654795484113055,80.19035399516025,63.0,46.0,46.0,46.0,1,1.736,30,carbon
h26,DMR Zone 157 SB Centerlock,r1,DT Swiss XM 481,19.137326934699637,61.32659279105677,66.0,56.0,56.0,56.0,1,1.0,30,alloy
h26,DMR Zone 157 SB Centerlock,r2,Race Face ARC Offset 30,18.743192776750703,61.32659279105677,66.0,56.0,56.0,56.0,1,0.952,30,alloy
h26,DMR Zone 157 SB Centerlock,r3,Stan's Flow S2,17.99156773186544,61.32659279105677,66.0,56.0,56.0,56.0,1,0.867,30,alloy
h26,DMR Zone 157 SB Centerlock,r4,We Are One Convert,22.75321464667555,61.32659279105677,66.0,56.0,56.0,56.0,1,1.575,35,carbon
h26,DMR Zone 157 SB Centerlock,r5,ENVE M730,23.524486958915592,61.32659279105677,66.0,56.0,56.0,56.0,1,1.736,30,carbon
h29,DT Swiss 350 157 6-bolt,r1,DT Swiss XM 481,22.16572699648829,67.89890442500254,69.0,55.25,50.5,60.0,1,1.0,30,alloy
h29,DT Swiss 350 157 6-bolt,r2,Race Face ARC Offset 30,21.707260839062506,67.89890442500254,69.0,55.25,50.5,60.0,1,0.952,30,alloy
h29,DT Swiss 350 157 6-bolt,r3,Stan's Flow S2,20.833063648568775,67.89890442500254,69.0,55.25,50.5,60.0,1,0.867,30,alloy
h29,DT Swiss 350 157 6-bolt,r4,We Are One Convert,26.376359886578324,67.89890442500254,69.0,55.25,50.5,60.0,1,1.575,35,carbon
h29,DT Swiss 350 157 6-bolt,r5,ENVE M730,27.275756597619033,67.89890442500254,69.0,55.25,50.5,60.0,1,1.736,30,carbon
h31,e*thirteen Sidekick Pro 157 SB,r1,DT Swiss XM 481,19.396710747273573,60.379354427594066,68.0,60.0,60.0,60.0,1,1.0,30,alloy
h31,e*thirteen Sidekick Pro 157 SB,r2,Race Face ARC Offset 30,19.01141458884751,60.379354427594066,68.0,60.0,60.0,60.0,1,0.952,30,alloy
h31,e*thirteen Sidekick Pro 157 SB,r3,Stan's Flow S2,18.277561978103616,60.379354427594066,68.0,60.0,60.0,60.0,1,0.867,30,alloy
h31,e*thirteen Sidekick Pro 157 SB,r4,We Are One Convert,22.947071668399918,60.379354427594066,68.0,60.0,60.0,60.0,1,1.575,35,carbon
h31,e*thirteen Sidekick Pro 157 SB,r5,ENVE M730,23.707864231518734,60.379354427594066,68.0,60.0,60.0,60.0,1,1.736,30,carbon
